anchor,positive,negative
leo libros.,luntulek kerka'lusa',lauk'apalek la'la'lusa'
escucho voces.,lauk'apalek la'la'lusa',kera'pilellek la'la'lusa'
son ricas.,iyasu'lusa' nuker'ka,i'inlusa' nuker'ka
¿puedo salir?,¿yennitulek yunsu'ak?,¿yennitulek katupa'tak?
pidan ayuda.,lektuku' katu'pa',saka'tullina' nakusu'
los del grupo del malallina entraron y encontraron solamente a sekputchek.,nana malallinalek ñapalusi'mi'na danker'kuñina' kani'ñina' sekputcheksa'.,"pi'tandulaler ima pata'kankañi asu' malallina, tullina'nta'."
quiero comer.,yawerannek,kanandeklek
no miren.,yalli'tama,yatuluner'ta
¿pueden vernos?,¿yennitullina lli'er'kenmuak?,¿llillinpenma' nu'tulama'?
comprueba esto.,teklerier' asu',lanerku' asu'
tom canta.,tom tuluner'lli,tom lansa'palli
deberíamos ganar.,kana'ta'kawa'su' ñapalli,luwantullidek kana'tak
llevémonos bien.,in'ekpa'wa' musu',kenma wichi'wina'
tom renunció.,tom yunsu'lli,tom deklli nerideknen
sonrían.,yamerku',yalunta'
usa esto.,pata'ker' asu',lanerku' asu'
¡quieto ahí!,¡yalenmekta nanek!,¡pilli'ter' nanek!
¡buen tiro!,musu' dek'la,¡paker' musu'!
¿debo continuar?,¿tupite'chekpi'la?,¿yennitulama' dekkunta'mamak?
¿estabas allí?,¿nanek ñapawina?,¿asek nanpipala?
tom decidió.,tom waduñi,tom katu'pa'tulli
deja sitio.,ta'iter' a'mercha,nu'ter' ipa'la
¿está roto?,¿nusha'tusu' ñapalli?,¿kaser'llincha?
dejame hablar.,ta'itula'u lun'echek,ta'itula'u du'echek
es idéntico.,nanapu'su' nuka'a,mukankan'inpu' nuka'a
es tom.,tom nuka'a,nuka'ku tom
pareces triste.,lli'tula we'inutusu',we'inutusu' ñapala
estoy leseando.,si'lentapalek,lansa'palek
"a algunos se los comió el tigre negro, cuando volvieron a ir los mataron.","nu'unti'ma kelluluñiñi'ler ka'deklli, pa'nunta'nni'ma ipa' di'tullina'.",nana malallinalek ñapalusi'mi'na danker'kuñina' kani'ñina' sekputcheksa'.
siempre ríe.,nerpi'pu' yamer'ker,yamerladaper'i'la
están mintiendo.,tumu'pallina',lansa'pallina'
no servirá.,ku'la pa'chinchu,yataitula'ta
me enfadé.,yulek,enmu'lek
es divertido.,wa'danpintek,mukankan'inpu' nuka'a
curémonos.,inlulen'awa',lek'kawa'
no sonrían.,yayamerladatama',yainyututama'
lo siento.,we'inu,anu'lek
te desmayaste.,muisu' kankantula,lutanteninpu'ker'
esperará.,wa'tentechu,wa'tenker'la
seguí practicando.,tupitulek inpaleriamu,tuker' tekinchiwalek
puedes hablar.,yennitula lun'a'mak,yennitula nu'ta'mak
está ahí.,nanek ñapalli,asek' ñapalli
¿fue tom?,¿tom ñiwiñi?,¿ñapalli tom?
con su padre les he criado.,papinalek teksusudeklek.,nanekla amitullinerku.
ya veremos.,ipa' lli'aterwa',lli'aterwa'
necesitamos dinero.,kulliker' luwantullidek,luwantullina' kulliker
¿viven aquí?,¿asek nanpipalama'?,¿inapi ñapala?
escuché.,lau'tulek,lli'echek
¿tienes cerveza?,¿a'ñapala cerveza?,¿inapiken ñapala?
¿quiénes sois?,¿denlusa'acha?,¿asek nanpipalama'?
tom respondió.,tom na'pitulli,tom kana'tulli
no mientas.,yatumu'ta,yatuluner'ta
quédate ahí.,nanek llia'ker',ta'ituler' asek
leo labios.,ñinchitapalek ma'tapallinpa',ulek wayusa'
¿quién gritó?,¿den lamapu'lli?,¿den chi'yeklli?
estoy descansando.,neriapalek,nakusu' weranek
había nevado.,pulunker' ñapawiñi,ñapawiñi kawik
¿está mirando?,¿lli'tapalli?,¿luwer'chapalli?
tom aceleró.,tom nakusu' a'teka'lli,tom ektu'lli
era negro.,kerpi'a'cha',nudu'pi ñiwiñi
¡fuego!,¡pen!,¡paku'!
necesitas esto.,luwantula asu',luwantulek asu'
aquí tienes.,asek a'ñapala,asek' ñapalli
tomás llamó soplando hoja.,chuma peklu'tulli penmek'tan,tullima lansi' wa'dan uker'apan.
vente.,wenller',wintu'u
¡socorro! ¡auxilio!,¡katu'pa'! ¡katu'pa'!,¡wanerker'! ¡apechutek!
soy obeso.,weipensu' nuka'ka,ku'aper nuka'ka
los tenemos.,a'ñapalekdekwa',tupitawa'
soy cocinero.,kalu'tutek' nuka'ka,ku'aper nuka'ka
¿es grave?,¿nu'la'lli?,¿wichisu'a'cha?
vaya despacio.,paker' uti'la,wek'ker' ipia'la
está fingiendo.,intek apalli,insek'lutenapalli
¡está listo!,¡insek'diperpi ñapalli!,¡yaindektama'!
rieron.,lumer'llina',da'llina'
¡estamos atrapados!,¡pilli'pi ñapalekwa'!,¡asek ñapallidek!
duele.,ikerlli,nakulli
déjale pasar.,ta'ituler' nakui,ta'iter' a'mercha
es dudoso.,latek'inpu'su' nuka'a,ñinchidinusu'nuka'a
fuiste valiente.,nantapitek ñiwina,denipa' peklu'tulli
nos rendimos.,yennichi'nek'wa',llinserllidek
seré libre.,inapi ñechek,musu' ñape'chek
¡habla conmigo!,¡lunker' kualek!,¡muek'kilala!
estoy preparado.,ñapalek insekdipersu',ñapalek a'mechailusu
estamos organizados.,mumusu' ñapallidek,a'ñapalekwa' da'lusa'
quiero ayudar.,yakatupa'tulek,yanampilek
soy olvidadizo.,pinanerchek'ku nukaka,iñer' ñinchitapalek
¿qué dijo?,¿ma'tulli?,¿nu'la'lli?
estaba desnudo.,inanpilatek ñapawinek,illiapalek'inpu ñapawinek
"y ustedes los de la pampa chota, ustedes son chota.","kenmami'na nana panpateklu' chota, chotanma'.","nana malek imi'na, ala'sa' shaya' llillinen itullina' malallina,"
las viejitas lloraban de hambre.,amilusi'ma' willekllina' ukki'lanna'.,ma'i silutulusa' dunkerllina'.
se besaron.,inmusha'llina',yalunta'
empieza aquí.,tenmian'suer' asu',ta'ituler' asek
¿me permiten?,¿ta'itule'chuner'ku?,¿yennitulekwa' lata'ak?
yo grité.,kua lamapu'lek,kua peklu'tulek
déjelo ahí.,ta'ituler nanek,llia'ker nanek
¡digan algo!,¡tuku' ma'nen'unta'!,¡tuker' ma'nen'unta'!
traed comida.,kencher' weran,enka'deker' kulliker'
son amigos.,ekuanlusa' nuker'ka,iyasu'lusa' nuker'ka
detente ahí.,llia'ker' nanek,linsercher' asek
¿dónde estás?,¿enñupa'cha ñapala?,¿inapi ñapala?
escoge uno.,wadunker' ala'sa',wila mukankan
perdieron.,kana'chi'ñina',luwanchi'ñina'
podemos hablar.,yinnitullidek lunnak,yakatu'pa'llidek
déjelo aquí.,ta'ituler' asek,nu'wanker' asek
paremos aquí.,wanerawa' asek,weranwa' asek
caminemos.,dek'kuntawa',mu'pallidek'
no como.,ka'api'nek,yatek'da'ta
estoy comprometida.,ñapalek ala'sa' enmu'pinenlek,ñapalek imanantusu'
ya me voy.,pantetchek.,nanek pa'echek
¡te amo!,¡luantullien!,¡u'chimu!
escucha atentamente.,lau'ker' musu',lauk'la tuna'ker'
no pico.,ku'la ek'kuanpinek,ku'la ikerinchu
baila conmigo.,lansa'ker' kualek,llia'ker' kualek
se quebró.,nupek'tulli,yutulli
hazlo ahoritita.,nu'ter' ipia'lashinchi,musuk'i'la lli'inuper'
parecen felices.,lli'tullina' musu',uku'latapalli wayupilusa'
¿está tom?,¿ñapalli tom?,¿tom ñiwiñi?
adoro ganar.,iyatulek kana'tak,iyatulek ñinchitak
hazlo rápido.,wiuk'su' nu'ter',tek'ker' wiuk'su'
eres guapa.,mulunsha nuka'ma,u'chimu nuka'ma
siempre camino.,nerpi'pu' dekundapalek,empu'ni yaluntama'
despierta.,nanpiker',neriker'
estoy soltero.,ku'aper'wi'nek,nuwek'mutu' ñapalek
estaba despierto.,ñapawinek nanpiladasu',inanpilatek ñapawinek
estoy levantado.,yunsansu' ñapalek,ñapalek a'mechailusu
lo sabía.,ñinchituwinek',yen'nichina'ka
somos médicos.,lulentutek nuka'kawa',inlu'uk'tutek nuka'kawa'
prohibido pasar.,ku'la nakui'nchu,kana'ta'kawa'su' ñapalli
¿ha venido?,¿ukllin'cha?,¿nu'la'lli?
necesito dormir.,luwantulek wichi'ak,luwantulek neriak
necesito café.,wayusa' luwantulek,luwantulek saka'tak
se equivocan.,aper'llina',kana'chi'ñina'
túmbate.,anu'ker',tupiter'
nuestros abuelos finados ellos han sido así.,papinkumapu'wa'ku'lusa' nana nu'llina'.,nana malallinapu'wa'su' ñillin iñer enmu'pinen.
quieto.,du'la'ker',keritu'u
eres bueno.,u'chimu nuka'ma,sha'mu'su' nuka'ma
estoy apurado.,wiuk'apalek,inapilante'ñapalek
"ahora se escoge los nombres leyendo en papel, a veces.","wadunek kerkek lli'amu llillinlusa', nerpi'pu'.","enta'n, nawa' kerka' ñinchilli'npu'la'pi'na'."
dímelo.,wintu'u,pinaner'u
andamos mucho.,dek'kuntapallidek' wapu',nakusu' wichi'llidek
¡hagámoslo!,¡nu'tawa'!,¡saka'dek!
¿estoy soñando?,¿wa'latapalek?,¿weipensu' ñapalek?
es canadiense.,kanadiense nuka'a,nuka'a francesa
no duerme.,ku'la wicha'pi'ñi,yawellekta
¿te conozco?,¿luwer'chapallien?,¿wa'latapalek?
ha cambiado.,a'pawileklli,dekundunlli
¿puedo besarte?,¿yennitulek musha'a'kik?,¿yennitulek yunsu'ak?
tú decides.,kenma techu,kenma wichi'wina'
más despacio.,a'pinta' uti'la,empu'duncha'
¿puedo participar?,¿yennitulek katupa'tak?,¿yennitulek tenmiansu'ak?
pueden irse.,yennitulama' pa'a'mama'su',yennitula' idun'a'mak
pareces loco.,wa'danpintek'pu'su' lli'tula,musuk'i'la lli'inuper'
como aquí.,mapu'sina asek',asek a'ñapala
¿les gustó?,¿iya'tulama?,¿yalansa'lli?
estoy desesperado.,perwatendusu' ñapalek,inapilante'ñapalek
está nublado.,pulunker' wanta'palli,sanek'apalli
¿quién?,¿den?,¿kenma?
¡salta!,¡indekker'!,¡mupencha!
sé positivo.,inlli'inuter' musuk,lu'uktutek'ken ñiker
estate contento.,ñapaker' musu'kankantusu',nantapitek ñiker'
¿lo tienes?,¿a'ñapala?,¿lauk'lun?
dijo el duende puro hueso mientras se quemaba.,tullima lansi' wa'dan uker'apan.,"musui'ma ukllishin uksuketchulli, pendalu'sa' llia'lli."
caminaron.,dek'kuntullina',peklu'tullina'
te detesto.,luyullien,llinser'chu'u
así nomas han sido antes.,nu'su'sa' ñillina' napi'.,papinkumapu'wa'ku'lusa' nana nu'llina'.
te vi.,lli'llien,wintu'u
sean breves.,empu'ni yaluntama',empu'ni yalunta'
eres duro.,watensu' nuka'ma,wichi'su' ñapala
escucharon.,lau'tullina',lek'kllina'
¿puedo unírmeles?,¿yennitulek piper'an'masu'?,¿yennitulek yunsu'ak?
hazlo ahorita.,nu'ter' ipia'la,musuk'i'la lli'inuper'
nos traicionaste.,wa'danpilapilundek,pillituwiñinerku'
"yo, también.",kuanta',enka'u nana
ahora ayúdame.,ipa'la katupa'u,ta'itula'u pae'chek
¿quién es?,¿den a'cha?,¿asu' a'cha?
¿quién viene?,¿den u'apilelli?,¿den a'cha?
déjame ayudarte.,taitula'u katu'pe'chen,yennitulek katu'pa'a'kik
¡para!,¡ta'ituler'!,¡pen!
no sé.,ñinchichi'nek,lauk'i'nek
no esperes.,yawa'tentuta,yainyututama'
lo intenté.,tekle'rilek',ta'itulekchek
¿me conoce?,¿luwer'chapalun?,¿wa'latapalek?
lo hice.,nu'tulek,lli'echek
aquí vamos.,asek' pa'apilallidek,adipi ka'awa'
hace frío.,sanek'wañi,sanek'apalli
¡lo adoro!,¡tante'ñek!,¡yawichi'lek!
primero comamos.,nanentu weranwa',asek' pa'apilallidek
¿tienen arroz?,¿pumuladawanpalama'?,¿inapiken ñapala?
soy chino.,chinu nuka'ka,finlandis nuka'ka
mejor vete.,a'pimuechu paker',ma'pu'sin tuker'
estaría agradecido.,yuspeine'pi ñapina'ka,yennituwinaskudek dek'kuntak
cuenta conmigo.,kua katu'pekchen,lansa'ker' kualek
se quemó.,uker'lli,yutulli
¿nos vamos?,¿pa'ater'?,¿nu'techu'?
estamos escuchando.,lauk'tapallidek,kerka' luntapallidek
terminen esto.,a'ta'wantuku' asu',lanerku' asu'
es ese.,nuka'a nana,asu' nuka'a
soy paciente.,wa'tentutek nuka'ka,llinserchutek' nuka'ka
trabajas duro.,saka'techu watensu',ñapaker' nanpiladasu'
¿es médico?,¿lulentuteken'a'cha?,¿lulentutek'a'cha?
cógelo.,maker',anu'ker'
¿qué ocurrió?,¿ma'nen'a'cha nakulli?,¿den kana'tulli?
¡buen trabajo!,¡musa'ka'tuna!,¡empu'ni mushipa'!
ellos caminaron.,nawa dek'kuntillina',nawa panper'chechuna'
cayeron.,anu'llina',aper'llina'
estás delgado.,sha'mu'su' nuka'ma,wichi'su' ñapala
puedo cantar.,ñinchitapalek tuluner'ak,iyatulek kana'tak
es adorable.,u'chimusha nuka'a,tekua'tek nuka'ma
¿hay más?,¿ñapalli a'pinda'?,¿lu'wan'nun?
fue repugnante.,nudu'pi ñiwiñi,u'chimu'ñiwiñi
debería venir.,wencha'winsu',tuwiñi nu'techu
lo tengo.,a'ñapalek,anu'lek
el ají pica,nuka' ikerlli,dadapu nuka'a
soy vago.,perchek' nuka'ka,ku'aper nuka'ka
soy bueno.,mukankanku,mulun nuka'ka
estoy mojada.,wiwerapalek,sha'mu'su' ñapalek
¡qué curioso!,¡empu'ni ñinchidinusu'ta'!,¡embu'ni mushipa'!
bienvenido.,muwencha'ker',muetchun
estaré solo.,kuasa' ñapechek,kuashasa' ñapalek
te salvaremos.,a'chiyek'echiden,saka'taterwa'
respóndeme.,na'pi'u,a'uktu'u
funciona.,saka'tulli.,tekdiperker
se negaron.,luwanchi'ñina',kana'chi'ñina'
comí manzanas.,ka'lek manzanas,nutulek tanta'shala
estoy débil.,mudinui'su' ñapalek,inapilante'ñapalek
ven a beber,uencher',a'ñapala' vinu'
deberíamos ayudar.,katu'pa'tuwinansu',yinnitullidek katu'pa'tak
le gustó.,iyatulli,a'pawileklli
no interfieras.,yatu'nektuta,yainyututama'
estás equivocado.,aper'su' ñapala,denlekpin'ta' ñapala
tom perdió.,tom kana'chi'ñi,tom iduñi
guarda esto.,sek'diperker' asu',lanerku' asu'
buen chico.,wila mukankan,mulunsha nuka'a
soy estudiante.,kirka'ñinchitutek nuka'ka,lulentutek' nuka'ka
sigan corriendo.,teka'pa'ku'i'la,llinsercher' kerka'lusa'
¿le quieres?,¿luwantapala?,¿lauk'lun?
él prueba.,nana lata'lli,tekle'rier asu'lusa
así lo que han dicho he oído cuando era muchacho y ahora les estoy contando.,"ta'ser kuanta' wilaku ñamu lawektulek, ipa'la winta'pallenma'.","wadunek kerkek lli'amu llillinlusa', nerpi'pu'."
¿estás libre?,¿inapi ñapala?,¿kenmashasa' ñapala?
podríamos caminar.,yennituwinaskudek dek'kuntak,yennitulekwa' kana'tak
¡date prisa!,¡wiuker'!,¡indekker'!
huele esto.,lanerker' asu',lanerku' asu'
apártate.,paker' ñilupa',sakek'ku'
los detendremos.,tu'nek'echidek,teka'per'aterwa'
ellos discutieron.,nawa' inyutullina',nawa' inllipu'iteklatullina'
tom creció.,tom susu'lli,tom ektu'lli
es engañoso.,tumu'tek' nuka'a,ñinchidinusu'nuka'a
seguiré.,tupiechek,lau'tulek
¿le conoce?,¿luwer'chapalli?,¿yalansa'lli?
enfríalo.,a'sanek'ker',inlli'inuker'
¿estás despierta?,¿nanpiladasu' ñapala?,¿sakek'su' ñapala?
ahí voy.,nanek pa'echek,asek a'ñapala
llovió.,u'lanñi,yutulli
es correcto.,mullincha',kenmakin nuka'a
anda.,dekundunlli,pa'a
está obsoleto.,ñapalli napi'da',saka'dekimpu ñichu
soy calvo.,nuwek'mutu'ku,ku'aper nuka'ka
¿puedes mostrarme?,¿yennitula a'lli'a'muk?,¿yennitula lunta'mak?
tom escapó.,tom chi'ye'klli,tom peklu'tulli
guarden esto.,sek'diperku' asu',sek'diperker' asu'
¿está sano?,¿mudinupallincha?,¿musu' ñapalli?
ahora nosotros conocemos los nombres.,kenmu'wei'na ipa' ñinchillintekwa'.,nana nu'su' aku'llinerkenmu'wa'.
pásala bien.,musu'nakuker',lli'tullina' musu'
llámame.,peklu'u,lliya'lek'
estaban equivocados.,ñapawiñina' pektunsu',tula'si'ma llinlliwañina'.
seremos asesinados.,dei'techuner'kudek,a'ñapalekwa' da'lusa'
eso funciona.,nana saka'tapalli,nana katu'pa'techu
¿quién vitoreó?,¿den inllipu'iteklatulli?,¿den chi'yeklli?
deberíamos comer.,ka'a'kawa'su' ñapalli,luwantullidek
estaban enfermos.,ñapawiñina' kaluwi'su',ñapawiñina' pektunsu'
hola.,ma'pu'sin,mulusa'
de ahí le dijo:,naneklima itulli:,tekkinchima itulli:
estoy agotado.,saka'tusu' ñapalek,kaluwi'su' ñapalek
estoy satisfecho.,ñapalek sakeksu',sha'mu'su' ñapalek
espósale.,tenpu'ker',pinaner'ker'
¿estabas enfermo?,¿kaluwi'su' ñapawina?,¿saka'tusu' ñapala?
tom inhaló.,tom lanerlli,tom lli'inutulli
defiéndete.,inlu'ukter',inlli'inuker'
casi morí.,chiminwinek,uki'la a'ñiwinek
¿fumas?,¿u'wa'tapala?,¿musu'?
¿tienes arroz?,¿pumuladawanpala?,¿a'ñapala cerveza?
miramos,lli'aterwa',lli'awa'
están ganando.,kana'tapallina',tumu'pallina'
¡escucha esto!,¡lau'ker' asu'!,¡tuker' ma'nen'unta'!
¿es este?,¿asu' a'cha?,¿iñer'a'cha?
hagámoslo ahora.,nu'tawa' ipa'la,ipa'la ta'itula'u'kudek
¿quién gana?,¿den kana'tulli?,¿den'ina' ka'lli?
desearía poder.,yen'nichina'ka,yennitulek katu'pa'a'kik
estoy viejo.,taserpiku',chacha'lek ñapalek
¿estuvo bueno?,¿musu'ñapawiñi?,¿nakusu' tanluwatulli?
puedes hacerlo.,yennitula nu'ta'mak,yennitula lun'a'mak
tenía sueño.,yawichi'winek,yupawinek
tom comió.,tom weranpalli,tom ektu'lli
sigue bailando.,lansa'per'i'la,tuluner'aper'i'la
hágalo mañana.,eklli nu'ter',wenller' dasu'la
estoy listo.,insek'diperpi ñapalek,ñapalek sakeksu'
no entrar.,ku'la dai'nchu,ku'la ikerinchu
lo llamaré.,peclu'echek,iyatulek
me acuerdo.,lli'inutapalek,yen'ner'lek'
quiero jugar.,yaintekllitulek,yanpu'lek
hagamos más.,a'pinta' nu'tawa',nu'tawa' ipa'la
¿qué falta?,¿ma'nenpawanpalli?,¿ma'nen ñapalli?
después de casarme tuve hijos.,sudawamu wilawanek.,wilaluntamu sudawek kananek.
nadie respondió.,ñiden na'pichi'ñi,ñiden pek'klu'chi'ñi
"nuestros abuelos finados dijeron que los que aborrecían, los que nos aborrecían, diciendo se fueron.","papinkumapu'wa'ku' tanni'ma nana luyurka'su', luyullinerkenmu'wa', tanni'ma pa'llina'.",nawa' lu'rnka'su' kudanta' laukta'kudeksu' wilakudek ñamudek lunpallidek.
esperen.,¡wa'ten'ku'!,wa'tentechu
hicieron trampas.,allisek nu'tapallina',a'pisadatuteklusa' ñapallina'
¡qué desastre!,¡embu'ni panger'ipa'!,¡embu'ni mushipa'!
comamos.,weranwa',tupitawa'
repítelo.,tununter',tañituker'
estoy comiendo.,werampalek,weranpi'nek
se fueron.,pa'llina',kanañina'
pruébate estos.,tekle'rier asu'lusa,teklerier' asu'
todo terminó.,iñer' ta'wantulli,ala'sa' yalli' ektukerlli
están solos.,nawa'sa' ñapallina',sadasu' ñapallina'
tom fracasó.,tom aper'lli,tom peklu'tulli
sobreviviremos.,chiminllinkekla nanpiterwa',nanekla lli'aterwa'
es simple.,saka'dek'inpu',mukankan'inpu' nuka'a
ustedes primero.,nanentu kenmama',kenma wichi'wina'
¿qué pasa?,¿mapu'la?,¿ma'nenpawanpalli?
¿estás herida?,¿chacha'wanpala?,¿kaluwipala?
¿eres real?,¿tekinchi nuka'ma?,¿kerka' ñinchitapala?
déjame pensar.,ta'itula'u inlli'inutechek,yaintekllitulek
estás débil.,nantapi'na,wichi'su' ñapala
tiene vino.,vinu' a'ñapalli,a'ñapala' vinu'
nosotros conduciremos.,kuda ekpekchidek,kerka' luntapallidek
no sigo.,ku'la tupiapi'nek,yalli'tama
vende frutas.,uku'latapalli wayupilusa',a'ñapala' vinu'
vámonos.,enchuku',lli'aterwa'
está leyendo.,lunta'palli,lun'aper'pi'la
prometí.,tuwinek,iyatulek
pasearon.,da'llina',peklu'tullina'
piénsatelo.,inlli'inuker',pinaner'ker'
puedo saltar.,innitulek indek'ak,iyatulek kana'tak
sobreviviste.,chiminllinkekla nampila,chiminllinkekla nampilek
es francés.,francés nuka'a,nuka'a francesa
¿estás muerto?,¿chimipi ñapala?,¿ñapalli muin'su?
camina rápido.,wiu'su' dekunter',wek'ker' ipia'la
estás loco.,wa'danpintek ñapala,wichi'su' ñapala
están dentro.,kinekla' ñapallina',nanpipallina'
levantémonos.,yunsanwa',inlulen'awa'
"así oigo ahora en nuestro pueblo de jeberos, no es como antes.","nu'su' ipa'la lawektapalek asu' shiwilumapu'wek, ñi napi'pu'su'.","wadunek kerkek lli'amu llillinlusa', nerpi'pu'."
déjame sentarme.,ta'itula'u du'echek,ta'itula'u pae'chek
estoy constipado.,ñapalek a'mechailusu,inapilante'ñapalek
sigue sonriendo.,yamerladaper'i'la,nerpi'pu' yamer'ker
le disparó.,ilanñi,dekundunlli
anímate.,nanta'piker,yamerku'
lo encontraron.,kanañina',lachek'llina'
leo frecuentemente.,lunpa'lek utalinpu'sa',wek'ker' ipia'la
estamos trabajando.,saka'tapalekwa',lauk'tapallidek
tomás aplaudió.,tomas inllipu'ite'lalli,tomas ekpa'lli
tom entendió.,tom lachek'lli,tom kana'tulli
¡perfecto!,¡mupalli!,¡u'chimu!
soy listo.,iñer' ñinchitapalek,ñapalek a'mechailusu
déjame cogerlo.,ta'itula'u pilli'te'chek,ta'itula'u pa'ak
tenemos vino.,a'ñapallidek vinu',a'ñapala' vinu'
estoy ayudando.,katu' pa'tapalek,yanampilek
fui enmarcado.,a'apitulliner'ku,inanpilatek ñapawinek
¿llamaste?,¿peklu'tula?,¿lauk'lun?
responderán.,na'pitechuna',ekte'chechuna'
es inteligente.,ñinchidinusu'nuka'a,shapi'tek nuka'a
estoy comprando.,mapa'tapalek,kulliker'wanpalek
dame algunos.,enka'u nu'unta'lusa',yennitula pa'a'masu'
así es.,nu'su' nuka'a,asu' nuka'a
estaré bien.,musu' ñapechek,musu' ñape'chek
ahí me alumbró mi madre en jeberos.,nanek wadekllun awawek shiwiluk.,wilaluntamu sudawek kananek.
tom bostezó.,tom lauki'lli,tom peklu'tulli
déjame irme.,ta'itula'u pae'chek,ta'itula'u pa'ak
me divorcié.,yanpu'lek,dunker'echek
descansad.,neriker',sakek'ku'
vigílame.,luwuk'tu'u,peklu'u
abrámoslo.,ek'ker'chawa',ektu'lekwa'
lárguese.,¡paku'!,muwencha'ker'
¡qué equipo!,mumu'wanbalek,!embu'ni we'inuipa'!
se adelantarán.,ekte'chechuna',wenche'chuna'
diciéndoles así les ha hecho entrar y les dijo.,itudek'an ima a'da'dekan ima itudeklli.,kananna' nanasa' llikantullina' dei'tullina'.
nunca hablamos.,ñinpi' lunpi'ñidek,wer'apallidek
ahora déjanos.,ipa'la ta'itula'u'kudek,ipa' lli'aterwa'
"vamos, háganlo.","pa'awa, nu'tuku'","pa'awa, nu'ter'"
cogeré uno.,maechek alasa',aku'ku' nanek
nadie llamó.,ñiden pek'klu'chi'ñi,ñiden lamapui'ñi
se ahogó.,chimidek'tulli,yutulli
"dice que el astro le había tocado el corazón a malallina, decían algunos.","pi'tandulaler ima pata'kankañi asu' malallina, tullina'nta'.","nana malek imi'na, ala'sa' shaya' llillinen itullina' malallina,"
estamos hartos.,perlli'llidek,sipuk'ñapallidek
¡comé despacio!,¡weranker' uti'la!,¡enpu'ni aperpipa'!
tom vaciló.,tom si'lentulli,tom peklu'tulli
¡imposible!,¡saka'dek!,¡muek'kilala!
estamos leyendo.,kerka' luntapallidek,lauk'tapallidek
trabajas mucho.,saka'techu empu'nipa,saka'techu watensu'
estamos separados.,yampu'su' ñapallidek,pilli'pi ñapalekwa'
lo tenemos.,a'ñapallidek,tupitawa'
tom lloró.,tom welliek'lli,tom lli'inutulli
hice panecitos.,nutulek tanta'shala,nanekla amitullinerku.
podríamos leer.,yennituwinaskudek luntak,yakatu'pa'llidek
son débiles.,saputek'lusa' nuker'ka,u'cha'paya ñiwina
nosotros ayudaremos.,kuda katu'pa'techidek,taitula'u'kudek
estás bien.,mu'su' ñapala,musu' ñapaker'
soy maestro.,alektutek nuka'ka,wa'tentutek nuka'ka
la besó.,musha'lli,dekundunlli
soy finlandés.,finlandis nuka'ka,frances nuka'ka
¿puedes venir?,¿yennitula uk'a'mak?,¿yennitula ek'ker'cha'mak?
se quemaron.,uker'llina',inmusha'llina'
fracasó.,a'aper'lli,dekundunlli
¿estoy invitado?,¿peklu'pi ñapalek?,¿wa'danpindek ñapala?
"diciendo así, desde entonces, nosotros ahora estos nombres estamos llevando.","tusu'si'ma, naneklima, kenmu'wa' ipa'la nana llillin ekpa'palekwa'.","nanekla, ipa'li'na iñer inapu'su' pa'akwa' luwetllekwa'."
es etíope.,etiope nuka'a,tekinchi nuka'a
¡di algo!,¡tuker' ma'nen'unta'!,¡ta'ituler'!
simplemente hazlo.,ma'pu'su'pintak nu'ter,teklerier' nu'ta'mak
quiero trabajar.,yasaka'tulek,saka'tapalek
todos oraron.,iñer'daper' mallia'llina',iñer'daper yamerladallina'
los amamos.,tanten'ñidek,yamerlek'wa'
estábamos borrachos.,lupersu' ñapawiñidek,kawitusu' ñapawiñidek
les mentí.,tumu'tuleklek,ñinchituwinek'
lo olvidé.,pinaner'lek',luyullien
fuimos culpados.,a'apitulliner'kudek,chiminllinkekla nampipalekwa'
necesito ayuda.,luwantulek katu'pa',yennitulek katu'pa'a'kik
¡qué listo!,¡dakuti'ñi!,¡enpu'ni dakuta'ipa'!
deben morir.,chimin'er'kasu'ñapalli,luwanchi'ñina'
no discutas.,yainyututa,yainyututama'
¿quién canceló?,¿den ata'wantulli?,¿den kana'tulli?
soy americano.,americano nuka'ka,finlandis nuka'ka
¿lo viste?,¿lli'la?,¿ikerlli?
¿es doctor?,¿lulentutek'a'cha?,¿a'lek'tutek' nuka'a?
los vi.,lli'dek'lek,lli'llien
¡avergüénzate!,¡dakuta'ker'!,¡mupencha!
lo arreglaré.,tekdiper'echek,yateklerilek
está funcionando.,saka'tapalli,pada'sa'tapalli
¿tienes frío?,¿sanekwantula?,¿nanpiladasu' ñapala?
¿quién escapó?,¿den chi'yeklli?,¿den lamapu'lli?
éste es.,asu' nuka'a,nuka'a nana
lean esto.,luntuku' asu',lanerku' asu'
sé fuerte.,nantapitek' ñiker',mu'su' ñapala
pedí pizza.,pizza lektulek,kerlliek vinu'
¡háblame!,¡luntuu!,¡nu'tawa'!
¡tengo sueño!,¡yawichi'lek!,¡musu' nampipalek!
¿para qué?,¿ma'ki'na?,¿kenma?
¿cómo estáis?,¿ma'pu'sin?,¿asek nanpipala?
alistémonos.,insekdiperawa',inlulen'awa'
ni idea.,ninchichi'nek,yiennichi'nek
está deprimido.,we'inutapalli,pulunker'wanpalli
estoy emocionado.,ñapalek sakek'su',sha'mu'su' ñapalek
dimelo.,itu'u,peklu'u
¿te gusta?,¿iyatula?,¿luwantapala?
entró mary.,da'kerlli mari,muisu' kankatulli
¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,¿yennitulek katupa'tak?
