ESP,SHIWILU
me vieron,lli'lliner'ku
me dispararon,ilanñiner'ku
me demandaron,iker'lalak aku'llinerku
los vi,lli'dek'lek
es médico,lulentuteken'a'cha
es doctor,lulentutek'a'cha
está durmiendo,wicha'palli
está dormido,wichisu'a'cha
es posible,yennitater'a'cha
está sano,mudinupallincha
está mejor,ipa' mula'lli
puede hacerse,yennitulek nu'tak
no funcionó,ku'la saka'chi'ñi
mejora,tekdiperker
es sábado,sawadu' nuka'a
huele bien,u'chimu lanelliek
huele rico,iyasu' lanelliek
parece fácil,saka'dek'inpu' lli'tulli
fue ameno,u'chimu ñiwiñi
era perfecto,u'chimu ñiwiñi
fue planeado,lli'inupi ñiwiñi
estaba nevando,pulunker'apawiñi
nevaba,pulunker'apawiñi
estará listo,insek'diperpi ñape'chu
es mes de navidad,ñiñuduker' nuka'a
me supera,kana'lliu
es delicioso,iyasu' nuka'a
es diferente,nerpi'la nuka'a
es idéntico,nanapu'su' nuka'a
está vibrando,pada'sa'tapalli
es maravilloso,liatusu' nuka'a
olvídalo ya,ipa' pinanerker'
simplemente hazlo,ma'pu'su'pintak nu'ter
déjame irme,ta'itula'u pae'chek
llévalo contigo,ekpa'ker kenmalek
consérvalo contigo,sekdiperker' kenmalek
siga intentando,inpaleriaper'
sigue buscando,dunker'aper'i'la
déjelo ahí,ta'ituler nanek
déjame sola,ta'itula'u kuasa'
déjanos solos,ta'itula'udek kudasa'
déjame explicar,ta'itula'u wintechen
déjame sentirlo,ta'itula'u lauk'echek
déjame oírlo,ta'itula'u lauk'echek
déjalos pelear,ta'itula'dek'ku' idenmaina'
seamos valientes,ñiawa' nantapitek lusa'
continuemos,tupitawa'
comamos aquí,weranwa' asek
practiquemos,impaleriawa'
sentémonos,du'awa'
levantémonos,yunsanwa'
escucha atentamente,lau'ker' musu'
escucha esto,lau'ker' asu'
puedo acompañarle,yennitulek ka'tan'an'su'
puedo acompañarles,yennitulek ka'tan'an'masu'
puedo unírmeles,yennitulek piper'an'masu'
muévase ya,lenme'ker' ipa
nadie gritó,ñiden lamapui'ñi
nadie escucha,ñiden lauk'tapi'ñi
demuéstramelo,a'lli'u
dilo claramente,tuker' tekinchiwalek
empezamos,tenmiansu'ter
comenzamos,tenmiansu'ter
quiere bailar,yalansa'lli
bailamos,lansa'wa
la cogieron,pilli'tullina'
estaba llorando,welliek'apawiñi
debería cerrar,unku'tuwinansin
apareció humo,lli'tulli kelliu
fumar apesta,u'wa'tak analli
estuvo cerca,ñapawiñi kawik
increíble,latek'i'nek
es correcto,mullincha'
es evidente,latek'lanañi
está claro,latek'la nañi
es obvio,latek'la nañi
es ese,nuka'a nana
qué malo,mukankaninpu'
ellos aplaudieron,nawa' inllipu'iteklatullina'
le preguntaron,lek'kllina'
ambos murieron,nu'misansu' chimiñina'
tienen vino,a'ñapallina' vinu'
ellos discutieron,nawa' inyutullina'
quieren más,luwantullina' a'pinta
estaban muertos,ñapawiñina' chimipi
estaban enfermos,ñapawiñina' kaluwi'su'
ellos ayudarán,nawa' katu'pa'techuna'
trabajan mucho,saka'tullina' nakusu'
atacarán,panper'echuna'
ellos atacarán,nawa panper'chechuna'
vienen,uk'apilellina'
están fatal,muinsu' ñapallina'
están dentro,kinekla' ñapallina'
piénsatelo,inlli'inuker'
piénsalo,inlli'inuer'
este funciona,asu' saka'techu'
falta tomás,pawanpalli chuma
tom canta,tom tuluner'lli
tom recordó,tom lli'inutulli
tom entendió,tom lachek'lli
tom luchará,tom idenmechu
tom respóndeme,tom na'piu
ten cuidado,inlu'uk'tuker'
somos médicos,lulentutek nuka'kawa'
bebimos mucho,nakusu' ullidek
le perdonamos,ta'itula'llidek
necesitamos ganar,luwantullidek kana'tak
necesitábamos ayuda,luwantullidek katu'pa'
deberíamos ayudar,katu'pa'tuwinansu'
fuimos culpados,a'apitulliner'kudek
estábamos bromeando,si'lentapawiñidek
estaremos felices,musu' ñape'chidek
ahí estaremos,nanek ñapaterwa'
lo pintaremos,llinserllidek
te salvaremos,a'chiyek'echiden
somos hermanos,iin nuka'kawa
estamos divorciados,yanpu'su' ñapallidek
somos inquietos,wadanpintek nuka'kawa'
estamos colgados,ñapallidek wintensu'
somos minuciosos,inlu'uk'tutek nuka'kawa'
los tenemos,a'ñapalekdekwa'
tenemos esto,a'ñapalekwa' asu'
estabas solo,kenmasa' ñapawina
estabas allí,nanek ñapawina
buen país,u'chimu ñinalu'
buen pensamiento,u'chimu lli'inu
y tú,kenma
qué necesito,ma'nen luwantulek
cuándo termina,enpi' ta'wantechu
dónde estabas,enñupa' ñapawina
lo harás,nu'techu'
lo harán,nu'techuma'
sí claro,tekinchi
sí ciertamente,tekinchi
me ignorabas,luwer'chi'nun
me ignoraste,luwer'chi'nun
me mentiste,tumu'tulun
nos mentiste,tumu'tulundek
pareces cansado,saka'ta'masu'pu'su' lli'tula
pareces molesto,yupa'masu'pu'su' lli'tula
puedes negarte,ku'la tunansin
necesitan dinero,luwantullina' kulliker
hueles bien,lanerllien u'chimu
quédese ahí,llia'ker nanek
fuiste valiente,nantapitek ñiwina
estabas feliz,musu' ñapawina
estaban felices,musu' ñapawiñina'
son increíbles,latek'inpu'pilusa' nuker'ka
estás enamorado,yaku'aper'wana
estás invitado,peklupi nuka'ma
eres paciente,wa'tentutek nuka'ma
estás ganando,kana'tapala
están ganando,kana'tapallina'
estás herida,kaluwi'pala
has cambiado,a'pawilek'la
quien sea,denpinta' ñi'i
terminamos,a'ta'wantulekwa'
estás emocionado,sakek'su' ñapala
están bien,musu' ñapalama'
estás saludable,mudinu'pala
estás sano,mudinu'pala
estás jodiendo,a'pe'chapala
estás mirando,lli'tapala
estás casado,sadasu'cha ñapala
estás casada,sudasu'cha ñapala
son hermanas,kai'kualusa' nuka'mama'
estás trabajando,saka'tapala
pregúntame mañana,lek'ku ek'klli
acércalo,a'kawiter'
traeme eso,keritu'u nana
puedo probármelo,yennitulek lata'ak
pueden vernos,yennitullina lli'er'kenmuak
podemos probarlo,yennitulekwa' lata'ak
puedes encontrarlo,yennitula kanan'a'mak
puedes oírme,yennitula lauk'a'muk
puedes oírnos,yennitula lauk'a'mudek
puedes ayudarme,yennitula katupa'a'muk
pueden ayudarme,yennitulama katupa'a'muk
puedes abrirlo,yennitula ek'ker'cha'mak
puedes mostrarme,yennitula a'lli'a'muk
vamos levántate,yunsanker' enchu
defiéndete,inlu'ukter'
me oíste,lauk'lun
te gustó,iya'tula
les gustó,iya'tulama
me querías,luwantuwinun
me amabas,luwantuwinun
lo hiciste,nu'tula
me extrañaste,lu'wan'nun
hazlo ahoritita,nu'ter' ipia'lashinchi
comés carne,chuchu ka'a'pala
está mal,ñapalli muin'su
tienes uno,a'ñapala ala'sa'
la conoces,luwer'chapala
la conocen,luwer'chapalama
le conoce,luwer'chapalli
lo recuerdas,lli'inutapala
tú crees,kenma latektapala
usted cree,kenma latektapala
le quieres,luwantapala
me conoce,luwer'chapalun
no interfieras,yatu'nektuta
todos miraron,iñer'daper' lli'tullina'
todos oraron,iñer'daper' mallia'llina'
todos sonrieron,iñer'daper yamerladallina'
dales dinero,enka'deker' kulliker'
dámelas,enka'u
dámelos,enka'u
genial no,u'chimuinchi i'ya
él salió,nana yunsu'lli
es etíope,etiope nuka'a
sobrevivirá,chimillinkekla nanpichu
escribe libros,llinsercher' kerka'lusa'
ten pruébatelo,ma'a'tasu' lataker'
qué humillante,empu'ni dakuta
qué interesante,empu'ni luyaipa'
cómo terminará,ma'pu'su' ta'wantechu
apúrate niña,wiuker' wila
apúrensen muchachas,wiuku' wilalunlusa
la llamé,peklu'lek
puedo regresar,yennitulek adanta'ak
me resfrié,iluwinek
me acobardé,sapulek
no escuché,lauk'i'nek
odio pelear,luyulek idenmaak
detesto pelear,luyulek idenmaak
odio estudiar,luyulek kerka'
tengo caspa,añapalek kisek'mutu'
tengo tarea,añapalek yanu'tak
volví,adencha'lek
sigo estornudando,a'shupalekpi'la
aprendí mucho,ninchitulek wapu'
adoro aprender,iyatulek ñinchitak
debo encontrarlo,kanan'a'kasu' ñapalli
debo ayudarlo,katu'pa'a'kasu' ñapalli
debo advertirle,winta'kasu' ñapalli
necesito internet,luwantulek internet
necesito entrar,yada'lek
pedí pizza,pizza lektulek
le burlé,tumu'tulek
lo reconozco,luwer'chulek
hablo inglés,lunpalek ingles
hablo español,lunpalek español
estudio inglés,alek'apalliner'ku ingles
despierto temprano,nanpiladapalek shampasik
quiero aquél,luwantulek nana
quiero bailar,yalansa'lek
quiero conducir,yaekpa'lek
quiero manejar,yaekpa'lek
quiero aprender,yañinchitulek
quise llorar,yawelliekwinek
quise pagar,yapanwilek'tuwinek
nací aquí,asek wadeklliner'ku
fui despedido,usu'lliner'ku
estaba escuchando,lauk'tapawinek
seguiré,tupiechek
estaría agradecido,yuspeine'pi ñapina'ka
lo arreglaré,tekdiper'echek
estaré contento,musu' ñape'chek
con placer,sakeksu'lek
seré paciente,wa'tentutek ñiechek
estaré esperando,wa'tentapechek
traeré vino,kere'chek vinu'
lo buscaré,dunker'echek
te premiaré,panuerken
te recompensaré,panuerken
estoy comprendiendo,lachek'apilalek
me carcajeo,yamerlek
estoy avergonzado,ñapalek dakuta'su'
estoy ayudando,katu' pa'tapalek
solo pregunto,lektapaleksa'
solo bromeo,si'lentapaleksa'
voy saliendo,yunsu'pilalek
soy zurdo,amennan nuka'ka
soy miope,umilu'lada' nuka'ka
soy responsable,latek'tutek nuka'ka
sigo vivo,nanpi'palek'i'la
lo cambié,a'pawileklek
estoy constipado,ñapalek a'mechailusu
suficiente,nanasa'
tuve suficiente,a'ñiwinek nanasa'
oí eso,lauk'lek nana
es maestro,a'lek'tutek' nuka'a
respira,neriapalli
está satisfecho,musu' ñapalli
es venenoso,sulliman wanpalli
no duele,ku'la iker'i'ñi
suena genial,illiñi u'chimu
sabía dulce,kasersu' ñiwiñi
todo terminó,iñer' ta'wantulli
fue emocionante,musu' ñapawiñi
era fabuloso,u'chimu'ñiwiñi
pronto lloverá,ipia'la u'lenchu
está botado,dekpi ñapalli
es imposible,yiennichi'nek
es increíble,latek'inbu' nuka'a
es irrelevante,ma'kek'pachi'ñi
es engañoso,tumu'tek' nuka'a
es refrescante,sanek'piak' nuka'a
solo ignórala,luwe'chinbuer'
ignórala,luwe'chinbuer'
solo continúa,tupiter'sa'
solo pruébatela,lataker'sa'
sigue sonriendo,yamerladaper'i'la
siempre ríe,nerpi'pu' yamer'ker
seguí practicando,tupitulek inpaleriamu
sigue practicando,tupiter' inpalerian
sigan practicando,tupituku' inpalerianma'
déjame llevarlo,ta'itula'u ekpe'chek
déjame averiguarlo,ta'itula'u lek'techek
déjame arreglarlo,ta'itula'u tekdiperechek
déjame sentarme,ta'itula'u du'echek
hagámoslo ahora,nu'tawa' ipa'la
primero comamos,nanentu weranwa'
comamos sushi,ka'awa' sushi
remontemos barriletes,a'penu'wa' barriletes
remontemos cometas,a'penu'wa' cometas
volemos cometas,a'penu'wa' cometas
olvidémoslo,pinaner'awa'
llevémonos bien,in'ekpa'wa' musu'
emborrachémonos,luper'awa'
curémonos,inlulen'awa'
alistémonos,insekdiperawa'
descansemos aquí,neriawa' asek
quedémonos acá,llia'awa' asek
paremos aquí,wanerawa' asek
esperemos aquí,watendawa' asek
achícalo,de'a'merker'
haz ruido,a'illinker'
feliz navidad,u'chimu ñiñuduker
nadie respondió,ñiden na'pichi'ñi
coge una,maker' ala'sa'
repítemelo,itununta'u
mándemelos,a'uktu'u
ella desapareció,nana wer'lli
lo abofeteó,lliaka'uk enka'lina
es brasileña,brashika nuka'a
siéntate derecho,cheksu' du'ker'
siéntese recto,cheksu' du'ker'
alguien llamó,denipa' peklu'tulli
alguien tosió,denipa' chinku'lli
cógelo todo,maker' iñer'
es dudoso,latek'inpu'su' nuka'a
es falso,tumu' nuka'a
hay reglas,ñapalli la'la'lusa'
son lindos,u'chimushala nuker'ka
están amarillos,sha'pi'su'sa' ñapallina
son amarillas,sha'pi'su'sa' nuker'ka
cenaron,werañina'
ellos cenaron,nawa' werañina'
me engañaron,tumu'tulliner'ku
me ignoraron,luwer'chi'ñiner'ku
viven allá,nanek nanpipallina'
parecen felices,lli'tullina' musu'
me ataron,tenpu'llinerku'
lo entendieron,lachek'llina'
estaban listos,insekdiperpi ñapawiñina'
estaban equivocados,ñapawiñina' pektunsu'
me matarán,dei'techuner'ku
les gustará,iyatechuna'
responderán,na'pitechuna'
están discutiendo,inyutapallina'
son correctos,tekinchilusa' nuker'ka
son primos,i'inlusa' nuker'ka
están bailando,lansa'pallina'
son amigos,ekuanlusa' nuker'ka
están celosos,a'pisadatuteklusa' ñapallina'
están casados,sadasu' ñapallina'
son hermanas,kaikualusa' nuker'ka
son especiales,u'chimuinchilusa' nuker'ka
están conmigo,kualek ñapallina'
están trabajando,saka'tapallina'
tom aceleró,tom nakusu' a'teka'lli
tom desapareció,tom wer'lli
tomás entiende,chuma lachek'lli
tom recordará,tom lli'inutechu
lava todo,pamuer' iñer'
mira cuidadosamente,lli'ker' uti'lakla
somos profesores,a'lek'tutek'lusa' nuka'kawa'
comimos juntos,weranekwa' kenmu'lek
podemos ayudarte,yennitulek'wa' katu'pa'a'kik
podemos ayudarlos,yennitulek'wa' katu'pa'a'kawak
cerramos temprano,shampasik unku'tulekwa'
tenemos visita,a'ñapalekwa' da'lusa'
hicimos waffles,nu'tulekwa' waffles
deberíamos ganar,kana'ta'kawa'su' ñapalli
compartimos ideas,a'nañiwa' lli'inulusa'
hablamos francés,lumpallidek frances
estudiamos francés,ñinchitapallidek frances
andamos mucho,dek'kuntapallidek' wapu'
queremos ayudar,yakatu'pa'llidek
queremos saber,yañinchitullidek
queremos hablar,yalunñidek
queremos votar,yadekllidek
éramos amigos,ekuanñiwiñidek
estábamos hablando,lumpawiñidek
seremos asesinados,dei'techuner'kudek
los detendremos,tu'nek'echidek
estamos disponibles,inapi ñapallidek
estamos seguros,musu'lu'ukpi ñapallidek
estamos escuchando,lauk'tapallidek
estamos organizados,mumusu' ñapallidek
somos prisioneros,sipuk'ñapallidek
estamos satisfechos,sakeksu' ñapallidek
estamos separados,yampu'su' ñapallidek
tenemos esos,nanadaper a'ñapallidek
los perdimos,a'wer'llidek
estabas llorando,welliek'apawina
qué dijo,ma'tulli
qué hiciste,ma'nen'nu'tula
qué falta,ma'nenpawanpalli
cuándo acabó,enpi'ta'wantulli
cuándo correrás,enpi'teke'chu
quien ayudó,den'katu'pa'tulli
quién contribuyó,den'katu'pa'tulli
escribe algo,llinse'cher' manen'unta'
anota eso,llinser'ker' nana
anoten eso,llinser'ku' nana
anota esto,llinser'ker' asu'
anote esto,llinser'ker' asu'
anoten esto,llinser'ku' nana
me traicionaste,wa'danpilapilun
nos traicionaste,wa'danpilapilundek
nos engañaste,tumu'tulundek
puedes entrar,yennitulada'a'mak
puedes decírnoslo,yennitula winta'mudek
pareces triste,lli'tula we'inutusu'
deberías descansar,neria'masu' ñapalli
deberían quedarse,llia'a'mamasu' ñapalli
tú dormías,kenma wichi'wina'
ustedes dormían,kenmama' wichi'winama'
mejor vete,a'pimuechu paker'
te perderás,wer'echu
estás soñando,wa'latapala
eres nervioso,tekua'tek nuka'ma
estás estancado,pilli'pi ñapala
estás atascado,da'sek'su' ñapala
eres mago,nuka'ma a'i'kechektutek
eres real,tekinchi nuka'ma
estás embarazada,kadu'lunsu' ñapala
son estudiantes,ñinchitulusa' nuka'mama'
estudias,kerka' ñinchitapala
pregúntaselo,lekker'
respira normal,neriker' u'chimu
respira tranquilo,neriker' u'chimu
me permiten,ta'itule'chuner'ku
puedo salir,yennitulek yunsu'ak
contrólate,inlu'uk'ter
tienes cerveza,a'ñapala cerveza
tienen hijos,wilawanpalama'
tienes hijos,wilawanpala'
tienes arroz,pumuladawanpala
tienen arroz,pumuladawanpalama'
los conoces,luwer'chapadekla
vives aquí,asek nanpipala
viven aquí,asek nanpipalama'
escaparon todos,iñer' chiyekllina'
explícamelo,musu' wintu'u
buen viaje,paker' musu'
no duerme,ku'la wicha'pi'ñi
no fuma,ku'la u'wa'ta'pi'ñi
odia correr,luyu'lli teka'ak
ama cantar,tantenñi tuluker'ak
quiere venir,ya'wencha'lli
está envejeciendo,taserpitapilalli
está inconsciente,inlli'inuinsu' ñapalli
un momentito,wa'tenker'
cuánto mides,empu'dun pichiapala
pedí comida,weran lektulek
me engripé,ilu enka'lliu
